block	location	elbow
1.0	[3 0 2]	False
2.0	[2 0 2]	False
3.0	[1 0 2]	True
4.0	[1 0 1]	True
5.0	[2 0 1]	False
6.0	[3 0 1]	True
7.0	[3 0 0]	True
8.0	[2 0 0]	True
9.0	[2 1 0]	False
10.0	[2 2 0]	False
11.0	[2 3 0]	True
12.0	[3 3 0]	True
13.0	[3 2 0]	False
14.0	[3 1 0]	True
15.0	[3 1 1]	True
16.0	[3 2 1]	False
17.0	[3 3 1]	True
18.0	[2 3 1]	True
19.0	[2 2 1]	False
20.0	[2 1 1]	True
21.0	[1 1 1]	True
22.0	[1 1 0]	True
23.0	[1 0 0]	True
24.0	[0 0 0]	True
25.0	[0 1 0]	True
26.0	[0 1 1]	True
27.0	[0 0 1]	True
28.0	[0 0 2]	True
29.0	[0 1 2]	False
30.0	[0 2 2]	True
31.0	[0 2 1]	False
32.0	[0 2 0]	True
33.0	[1 2 0]	True
34.0	[1 2 1]	True
35.0	[1 3 1]	True
36.0	[1 3 0]	True
37.0	[0 3 0]	True
38.0	[0 3 1]	False
39.0	[0 3 2]	True
40.0	[1 3 2]	False
41.0	[2 3 2]	False
42.0	[3 3 2]	True
43.0	[3 2 2]	True
44.0	[3 2 3]	True
45.0	[3 3 3]	True
46.0	[2 3 3]	False
47.0	[1 3 3]	False
48.0	[0 3 3]	True
49.0	[0 2 3]	True
50.0	[1 2 3]	False
51.0	[2 2 3]	True
52.0	[2 1 3]	True
53.0	[1 1 3]	True
54.0	[1 1 2]	True
55.0	[1 2 2]	True
56.0	[2 2 2]	True
57.0	[2 1 2]	True
58.0	[3 1 2]	True
59.0	[3 1 3]	True
60.0	[3 0 3]	True
61.0	[2 0 3]	False
62.0	[1 0 3]	False
63.0	[0 0 3]	True
64.0	[0 1 3]	False
